timestamp,hour,day_of_week,month,is_weekend,weather_code,weather,event,mall_capacity,mall_occupied,mall_available,mall_occupancy,hospital_capacity,hospital_occupied,hospital_available,hospital_occupancy,office_capacity,office_occupied,office_available,office_occupancy,station_capacity,station_occupied,station_available,station_occupancy,market_capacity,market_occupied,market_available,market_occupancy,airport_capacity,airport_occupied,airport_available,airport_occupancy,total_capacity,total_occupied,total_available,total_occupancy
2023-01-01 00:00:00,0,6,1,1,0,clear,0,500,91,409,0.184,300,216,84,0.722,400,64,336,0.162,250,35,215,0.142,200,24,176,0.122,600,264,336,0.441,2250,694,1556,0.308
2023-01-01 01:00:00,1,6,1,1,0,clear,0,500,81,419,0.163,300,145,155,0.485,400,58,342,0.145,250,12,238,0.05,200,19,181,0.1,600,190,410,0.317,2250,505,1745,0.224
2023-01-01 02:00:00,2,6,1,1,0,clear,0,500,77,423,0.155,300,170,130,0.567,400,71,329,0.179,250,12,238,0.05,200,20,180,0.103,600,234,366,0.391,2250,584,1666,0.26
2023-01-01 03:00:00,3,6,1,1,1,rain,0,500,63,437,0.128,300,168,132,0.561,400,34,366,0.086,250,16,234,0.064,200,10,190,0.05,600,191,409,0.318,2250,482,1768,0.214
2023-01-01 04:00:00,4,6,1,1,2,heavy_rain,0,500,71,429,0.143,300,138,162,0.463,400,42,358,0.106,250,12,238,0.05,200,10,190,0.05,600,205,395,0.343,2250,478,1772,0.212
2023-01-01 05:00:00,5,6,1,1,0,clear,0,500,83,417,0.167,300,182,118,0.61,400,81,319,0.204,250,28,222,0.115,200,26,174,0.131,600,225,375,0.376,2250,625,1625,0.278
2023-01-01 06:00:00,6,6,1,1,1,rain,0,500,341,159,0.683,300,149,151,0.5,400,35,365,0.088,250,83,167,0.335,200,92,108,0.461,600,252,348,0.422,2250,952,1298,0.423
2023-01-01 07:00:00,7,6,1,1,0,clear,0,500,424,76,0.85,300,219,81,0.733,400,100,300,0.252,250,126,124,0.505,200,100,100,0.503,600,258,342,0.431,2250,1227,1023,0.545
2023-01-01 08:00:00,8,6,1,1,0,clear,0,500,410,90,0.821,300,225,75,0.753,400,58,342,0.147,250,148,102,0.595,200,87,113,0.437,600,306,294,0.511,2250,1234,1016,0.548
2023-01-01 09:00:00,9,6,1,1,1,rain,0,500,484,16,0.969,300,169,131,0.566,400,52,348,0.131,250,179,71,0.717,200,92,108,0.463,600,241,359,0.403,2250,1217,1033,0.541
2023-01-01 10:00:00,10,6,1,1,0,clear,0,500,495,5,0.99,300,187,113,0.625,400,53,347,0.133,250,116,134,0.465,200,130,70,0.65,600,336,264,0.561,2250,1317,933,0.585
2023-01-01 11:00:00,11,6,1,1,0,clear,0,500,495,5,0.99,300,199,101,0.664,400,118,282,0.296,250,115,135,0.463,200,129,71,0.645,600,228,372,0.381,2250,1284,966,0.571
2023-01-01 12:00:00,12,6,1,1,2,heavy_rain,0,500,478,22,0.957,300,158,142,0.528,400,30,370,0.076,250,111,139,0.445,200,85,115,0.43,600,265,335,0.443,2250,1127,1123,0.501
2023-01-01 13:00:00,13,6,1,1,0,clear,0,500,495,5,0.99,300,191,109,0.64,400,59,341,0.148,250,114,136,0.458,200,143,57,0.718,600,241,359,0.402,2250,1243,1007,0.552
2023-01-01 14:00:00,14,6,1,1,1,rain,0,500,430,70,0.861,300,177,123,0.59,400,34,366,0.086,250,96,154,0.386,200,113,87,0.565,600,182,418,0.304,2250,1032,1218,0.459
2023-01-01 15:00:00,15,6,1,1,0,clear,0,500,495,5,0.99,300,191,109,0.637,400,42,358,0.107,250,116,134,0.467,200,120,80,0.603,600,283,317,0.473,2250,1247,1003,0.554
2023-01-01 16:00:00,16,6,1,1,1,rain,0,500,457,43,0.915,300,188,112,0.627,400,68,332,0.171,250,78,172,0.315,200,106,94,0.533,600,219,381,0.366,2250,1116,1134,0.496
2023-01-01 17:00:00,17,6,1,1,0,clear,0,500,495,5,0.99,300,216,84,0.722,400,107,293,0.268,250,247,3,0.99,200,143,57,0.719,600,208,392,0.348,2250,1416,834,0.629
2023-01-01 18:00:00,18,6,1,1,2,heavy_rain,0,500,483,17,0.967,300,147,153,0.491,400,77,323,0.194,250,178,72,0.715,200,133,67,0.665,600,175,425,0.292,2250,1193,1057,0.53
2023-01-01 19:00:00,19,6,1,1,0,clear,1,500,495,5,0.99,300,263,37,0.879,400,104,296,0.261,250,247,3,0.99,200,195,5,0.98,600,259,341,0.433,2250,1563,687,0.695
2023-01-01 20:00:00,20,6,1,1,1,rain,0,500,423,77,0.846,300,156,144,0.521,400,66,334,0.167,250,76,174,0.304,200,94,106,0.472,600,192,408,0.321,2250,1007,1243,0.448
2023-01-01 21:00:00,21,6,1,1,1,rain,0,500,444,56,0.89,300,160,140,0.536,400,40,360,0.1,250,93,157,0.374,200,97,103,0.49,600,356,244,0.593,2250,1190,1060,0.529
2023-01-01 22:00:00,22,6,1,1,1,rain,0,500,152,348,0.305,300,171,129,0.573,400,74,326,0.185,250,17,233,0.069,200,26,174,0.131,600,212,388,0.355,2250,652,1598,0.29
2023-01-01 23:00:00,23,6,1,1,0,clear,0,500,168,332,0.337,300,168,132,0.562,400,91,309,0.228,250,32,218,0.129,200,22,178,0.114,600,259,341,0.433,2250,740,1510,0.329
2023-01-02 00:00:00,0,0,1,0,1,rain,0,500,47,453,0.095,300,172,128,0.574,400,63,337,0.16,250,12,238,0.05,200,14,186,0.071,600,203,397,0.34,2250,511,1739,0.227
2023-01-02 01:00:00,1,0,1,0,0,clear,0,500,67,433,0.135,300,165,135,0.551,400,53,347,0.134,250,12,238,0.05,200,10,190,0.05,600,296,304,0.494,2250,603,1647,0.268
2023-01-02 02:00:00,2,0,1,0,1,rain,0,500,99,401,0.199,300,134,166,0.449,400,41,359,0.104,250,27,223,0.11,200,10,190,0.05,600,230,370,0.384,2250,541,1709,0.24
2023-01-02 03:00:00,3,0,1,0,0,clear,0,500,25,475,0.05,300,156,144,0.521,400,35,365,0.088,250,34,216,0.136,200,10,190,0.05,600,220,380,0.368,2250,480,1770,0.213
2023-01-02 04:00:00,4,0,1,0,0,clear,0,500,83,417,0.168,300,158,142,0.527,400,69,331,0.174,250,16,234,0.065,200,10,190,0.05,600,220,380,0.368,2250,556,1694,0.247
2023-01-02 05:00:00,5,0,1,0,2,heavy_rain,0,500,78,422,0.156,300,142,158,0.474,400,20,380,0.05,250,12,238,0.05,200,16,184,0.081,600,148,452,0.247,2250,416,1834,0.185
2023-01-02 06:00:00,6,0,1,0,0,clear,0,500,286,214,0.573,300,188,112,0.628,400,46,354,0.116,250,86,164,0.346,200,83,117,0.417,600,274,326,0.457,2250,963,1287,0.428
